Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2017,2017,2017,4,0,1,Import,28,Antigua and Barbuda,ATG,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,15,,,,15,,158,,,0
H3,2019,2019,2019,4,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,50,,,,50,,31,,,0
H3,2019,2019,2019,4,0,1,Import,28,Antigua and Barbuda,ATG,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,50,,,,50,,31,,,0
H5,2018,2018,2018,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,39010,,,,39010,,22053,,,0
H5,2018,2018,2018,4,0,1,Import,32,Argentina,ARG,484,Mexico,MEX,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,39010,,,,39010,,22053,,,0
H4,2017,2017,2017,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,91610,,,,91610,,28632,,,0
H4,2017,2017,2017,4,0,1,Import,32,Argentina,ARG,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,91610,,,,91610,,28632,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,11,,,,11,,274,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,381,Italy,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6,,,,6,,205,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5,,,,5,,69,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,40004,,,,40004,,5421,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,164,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,39253,,,,39253,,4432,,,0
